title,brand,n_retailers,n_barcodes,barcodes,retailers
"Clearly Canadian Sparkling Water Beverage, Mountain Blackberry",Clearly Canadian,2,2,"['66479000064', '66479001252']","['Giant Eagle', 'publix']"
Coconut Water,Harvest,2,2,"['75239001104', '75239843841']","['Giant Eagle', 'Harris Teeter']"
Cola,Harboe,3,3,"['5701598028753', '5701598103900', '5701598119857']","['Coop.dk MAD', 'Fotex', 'Nemlig']"
Cola soda Pet,Premier,2,3,"['7611612404020', '7611612513005', '7611612515207']","['Hemköp', 'Willys']"
Cream Soda,Dr Brown's,2,2,"['73970001070', '73970102074']","['Giant Eagle', 'Harris Teeter']"
Crystal Clear Lemon,Crystal Clear,3,2,"['8715600240849', '8715600243697']","['Coop', 'Dirk', 'Jan Linders']"
Crystal Clear Sparkling lemon,Crystal Clear,3,2,"['8715600227048', '8715600228595']","['Albert Heijn', 'Coop', 'Jan Linders']"
Crystal Clear Sparkling lemon bottle,Crystal Clear,2,2,"['8715600227048', '8715600240849']","['Albert Heijn', 'Coop']"
Crystal Clear Sparkling peach,Crystal Clear,4,2,"['8715600228571', '8715600229929']","['Albert Heijn', 'Coop', 'Dirk', 'Jan Linders']"
Cuba Cola,Cuba Cola,4,3,"['7310401039404', '7310401042534', '7310401043630']","['Coop', 'Hemköp', 'Mat Smart', 'MatHem']"
Cuba Cola Zero,Cuba Cola,5,3,"['7310401039374', '7310401042527', '7310401043647']","['CDON.COM', 'Coop', 'Hemköp', 'Mat Smart', 'MatHem']"
Cuba Cola Zero soda Pet,Cuba Cola,2,3,"['7310401039374', '7310401042527', '7310401049274']","['Hemköp', 'Willys']"
Cuba Cola soda Pet,Cuba Cola,2,2,"['7310401039404', '7310401042534']","['Hemköp', 'Willys']"
DRY Sparkling Cucumber Soda,Dry,2,2,"['851818001440', '851818001877']","['Fred Meyer Stores', 'Kroger']"
De mi Pais Coconut Water 16.4 oz - Agua de Coco,De Mi Pais,2,2,"['688474656321', '896211002076']","['Walmart', 'amazon']"
Diet Rite Cola,Diet Rite,3,2,"['78000063165', '78000063462']","['H-E-B', 'Kroger', 'Walgreens']"
Dr. goerg premium Bio- coconut water,Dr. Goerg,2,2,"['4260213391623', '4260213391630']","['Shop Apotheke', 'shop-apotheke']"
ESN Ultra Vitamin Syrup,ESN,2,5,"['4250519662541', '4250519662558', '4250519662565', '4250519666556', '4250519666563']","['Shop Apotheke', 'shop-apotheke']"
Eau organic coconut,Vaïvaï,2,2,"['3760269850064', '3760269850163']","['Intermarche', 'Monoprix']"
Energy Drink Zero can,Powerking,2,3,"['7611612221580', '7611612221603', '7611612221658']","['Hemköp', 'Willys']"
Energy Drink energy drink can,Powerking,2,3,"['7611612221351', '7611612221467', '7611612221627']","['Hemköp', 'Willys']"
Evolution Fresh Organic Super Fruit Greens Juice Blend,Evolution Fresh,2,2,"['762357042118', '762357308238']","['Fred Meyer Stores', 'Kroger']"
First Choice Cola zero look,First Choice,2,2,"['8710624308155', '8710624349141']","['Coop', 'Jan Linders']"
First Choice Cola zero sugar,First Choice,2,3,"['8710624345754', '8710624349233', '8710624349240']","['Coop', 'Dirk']"
First Choice cola light,First Choice,4,4,"['8710624308315', '8710624345723', '8710624349202', '8710624349219']","['Coop', 'Dirk', 'Jan Linders', 'Spar']"
First Choice cola light decaffeinated,First Choice,2,2,"['8710624096229', '8710624345785']","['Coop', 'Jan Linders']"
First Choice cola regular,First Choice,4,3,"['8710624345600', '8710624345693', '8710624349189']","['Coop', 'Dirk', 'Jan Linders', 'Spar']"
First Choice cola regular 1.5 l,First Choice,2,2,"['8710624308452', '8710624345693']","['Coop', 'Vomar']"
First Choice cola regular look,First Choice,3,2,"['8710624308186', '8710624349080']","['Coop', 'Jan Linders', 'Spar']"
Fresh & Juicy,Eldorado,2,3,"['7035620011542', '7035620016202', '7035620039645']","['Meny', 'Spar']"
Frostie Blue Cream Soda,Frostie,4,2,"['793674820462', '793674820479']","['Fred Meyer Stores', 'H-E-B', 'Hy-Vee', 'Publix']"
Frostie Root Beer,Frostie,5,2,"['793674810500', '793674820073']","['Fred Meyer Stores', 'H-E-B', 'Hy-Vee', 'Publix', 'Total Wine']"
Gazpacho original,Alvalle,2,2,"['5410188031102', '8410409010142']","['Auchan', 'Intermarche']"
Harmless Harvest Coconut Water,Harmless Harvest,3,2,"['859078002627', '859078002672']","['Fred Meyer Stores', 'H-E-B', 'Kroger']"
"Harmless Harvest Organic Coconut Water, Original, 12 Fl Oz ( Pack of 4)",Harmless Harvest,2,3,"['673276830413', '850003023113', '85494877383']","['Walmart', 'amazon']"
"Harmless Harvest Raw Organic Coconut Water, 16 oz",Harmless Harvest,2,3,"['633610753105', '859078002153', '995561291595']","['Walmart', 'amazon']"
"Harmless Harvest, Coconut water with pulp, 16 Fl Oz Bottle",Harmless Harvest,2,2,"['673276830420', '810068900361']","['Walmart', 'amazon']"
Heartsease Farm Sparkling Traditional Lemonade 750ml,Heartsease Farm,2,2,"['5026109004119', '721866638502']","['Aldi', 'amazon']"
IBC Black Cherry Made with Sugar,Ibc,3,2,"['72796000137', '72796000182']","['Hy-Vee', 'Kroger', 'Publix']"
"Ingrilli Organic Lemon Squeeze, 4 Fl Oz Bottle ( Pack of 6)",Ingrilli,2,2,"['642709089940', '642709101987']","['Walmart', 'amazon']"
"JUST Water Infused - Cherry Flavored Spring Water - Eco- Friendly and Sustainable, Boxed Bottled Water - Low Calorie Beverage with No Artificial Flavors, 8.0 Alkaline pH - 16.9 fl oz ( Pack of 12)",Just Water,2,2,"['850031418066', '853057007139']","['Walmart', 'amazon']"
Jones Cream Soda,Jones,2,2,"['620221200098', '620221240001']","['H-E-B', 'Kroger']"
Kern's Guava Nectar,Kern's,2,2,"['888903201119', '888903450708']","['Fred Meyer Stores', 'H-E-B']"
Kiju Organic Lemonade,Kiju,2,2,"['189727000231', '189727001047']","['Longos', 'Walmart']"
"Lavazza Organic Double Shot Oat Milk Cold Brew Coffee, ( Pack of 4 Cans / 8 Fluid Ounce Each) Balanced, Creamy, Dark Roast, 100% Arabica, USDA Certified Organic, Rainforest Alliance Certified",Lavazza,2,2,"['41953003465', '718157942080']","['Walmart', 'amazon']"
Lemon Lemon Original Sparkling Lemonade,Lemon Lemon,2,2,"['12000162688', '12000162701']","['Kroger', 'Publix']"
Lemon Perfect Blueberry Acai Cold- Pressed Lemon Water,Lemon Perfect,2,2,"['850003748009', '850003748122']","['Harris Teeter', 'Kroger']"
Lemon Perfect Dragon Fruit Mango Cold- Pressed Lemon Water,Lemon Perfect,2,2,"['850003748030', '850003748146']","['H-E-B', 'Harris Teeter']"
Lemonade Tea,Turkey Hill,2,2,"['20735092798', '20735092965']","['Harris Teeter', 'Wegmans']"
Life Wtr Purified Water,Life,3,3,"['12000161155', '12000161162', '12000171635']","['H-E-B', 'Hy-Vee', 'Publix']"
Mango carbonated water Pet,Premier,2,3,"['7611612516464', '7611612516471', '7611612516488']","['Hemköp', 'Willys']"
Mango carbonated water Pet,Ramlösa,2,2,"['7310070001788', '7310070001948']","['Hemköp', 'Willys']"
Mango with no added sugar fruit drink,Proviva,3,2,"['7350000550399', '7350000552348']","['Hemköp', 'Willys', 'mat.se']"
Mc Cafe Frappe Caramel Coffee Beverage,McCafé,2,2,"['49000075328', '49000078978']","['H-E-B', 'Hy-Vee']"
Mc Cafe Frappe Mocha Coffee Beverage,McCafé,2,2,"['49000075311', '49000078985']","['H-E-B', 'Hy-Vee']"
Melon carbonated water Pet,Premier,2,2,"['7611612404112', '7611612404228']","['Hemköp', 'Willys']"
Mineragua Sparkling Water,Mineragua,4,2,"['90478216805', '90478410616']","['Giant Eagle', 'Hy-Vee', 'Wegmans', 'publix']"
Mug Root Beer,Mug,2,3,"['12000100154', '69000040515', '69000040553']","['Kroger', 'Longos']"
Mug Root Beer Soda,Mug Root Beer,2,2,"['12000009105', '12000009358']","['H-E-B', 'Publix']"
NOS High Performance Energy Drink,NOS,3,4,"['80793803910', '815154020008', '815154020077', '815154020909']","['Fred Meyer Stores', 'H-E-B', 'Kroger']"
Natural Spring Water,Eska,4,6,"['671785201007', '671785201960', '671785301950', '671785501008', '671785501800', '671785501824']","['IGA', 'Loblaws', 'Metro', 'Real Canadian Super Store']"
North Coast Organic Apple Cider,North Coast,2,2,"['22014640201', '22014641208']","['Fred Meyer Stores', 'Kroger']"
Orange Juice With Bits,God Morgon,2,2,"['7310860007372', '7310865074768']","['Hemköp', 'Willys']"
Orange Nectar nectar,God Morgon,2,2,"['7313619002246', '7313619002314']","['Hemköp', 'Willys']"
Orchard Splash 46oz Ready to Drink Juice (12 Aseptic Cartons per Case) ( Orange 100%),Orchard Splash,2,2,"['20529460000', '462832391495']","['Walmart', 'amazon']"
Organic Apple Juice,Kiju,2,2,"['189727000217', '189727001016']","['IGA', 'Metro']"
Organic Matcha Lemonade Tea Mix With Premium Japanese Matcha Powder (50 Servings) 17.6 OZ,Sen Cha,2,3,"['604002393209', '604224378114', '840215400345']","['Walmart', 'amazon']"
Organic Raw Coconut Water,Harmless Harvest,2,2,"['859078002092', '859078002153']","['Giant Eagle', 'Harris Teeter']"
Original carbonated water Pet,Ramlösa,2,4,"['7310070001719', '7310070001849', '7310072000246', '73145714']","['Hemköp', 'Willys']"
Ozarka 100% Natural Spring Water,Ozarka,4,10,"['22592000053', '22592000077', '22592004013', '22592053028', '22592066691', '22592114392', '22592334158', '22592431147', '22592481111', '22592637778']","['Giant Eagle', 'H-E-B', 'Kroger', 'Walgreens']"
Peace Tea Georgia Peach,Peace Tea,4,2,"['49000070439', '70847018544']","['H-E-B', 'Hy-Vee', 'Kroger', 'Publix']"
Peace Tea Sno- Berry,Peace Tea,2,2,"['49000070507', '67000008733']","['Hy-Vee', 'Longos']"
Peach Cocktail,Allen's,2,2,"['56412503059', '56412708133']","['Metro', 'Real Canadian Super Store']"
Private Selection Caramel Cafe Frappe,Private Selection,2,2,"['11110135353', '11110839411']","['Fred Meyer Stores', 'Kroger']"
Private Selection Mocha Cafe Frappe,Private Selection,2,2,"['11110135346', '11110893505']","['Fred Meyer Stores', 'Kroger']"
Private Selection Vanilla Cafe Frappe,Private Selection,2,2,"['11110135339', '11110893512']","['Fred Meyer Stores', 'Kroger']"
"Proud Source Alkaline Spring Water, Natural Minerals + Electrolytes, Infinitely Recyclable Aluminum, BPA- Free (24 pack 12 oz Cans)",Proud Source,2,5,"['751901886438', '752697964546', '758918255318', '761759557602', '853303007296']","['Walmart', 'amazon']"
"Proud Source Naturally Alkaline 8.5pH + Spring Water with Electrolytes, BPA Free and Eco- Friendly Packaging, 750ml (12 Pack)",Proud Source,2,4,"['198717100493', '739781523438', '747519482230', '751901631939']","['Walmart', 'amazon']"
RC Cola,RC Cola,4,2,"['78000003376', '78000041408']","['H-E-B', 'Hy-Vee', 'Total Wine', 'Wegmans']"
Rainbow orange juice 1l,Rainbow,2,3,"['6415712502874', '6415718072180', '7340191118683']","['Food Market Herkku', 'S-kaupat']"
Root Beer Soft Drink,A&W,2,3,"['59531000607', '59531002205', '59531002359']","['IGA', 'Metro']"
Root Beer Soft Drink,Mug,2,2,"['69000040515', '69000040553']","['IGA', 'Metro']"
SIERRA cazorla natural mineral water bottle 1 l,Sierra Cazorla,2,2,"['8429821120025', '8429821120063']","['El Corte Inglés', 'Hipercor']"
Sisi No bubbles mango,Sisi,2,2,"['8715600245394', '8715600246353']","['Albert Heijn', 'Dirk']"
Sisi No bubbles orange,Sisi,2,3,"['8715600245332', '8715600246414', '87156027']","['Albert Heijn', 'Dirk']"
Sisi Orange,Sisi,3,4,"['8715600228151', '8715600245288', '8715600245660', '87156089']","['Dirk', 'Jan Linders', 'Kruidvat']"
Sisi Orange no bubbles,Sisi,2,2,"['8715600245318', '8715600246414']","['Coop', 'Dirk']"
Smoothie Vitamin,Brämhults,2,2,"['7313619001430', '7313619001454']","['MatHem', 'Willys']"
Smoothie apple avocado raspberry strawberry cold pressed,Garant,3,2,"['7340083477720', '7340083477737']","['Hemköp', 'Willys', 'mat.se']"
Smoothie cold pressed avocado spinach,Garant,2,2,"['7340083473906', '7340083475023']","['Hemköp', 'Willys']"
Soda hamoud boualem,Hamoud,2,2,"['3248710510106', '3377430003008']","['Carrefour', 'OOShop']"
Soleil Sparkling Water Mango - 8-12 Fl. Oz.,Soleil,2,2,"['21130162994', '21130180097']","['Pavilions', 'safeway']"
Solo Super,Solo,3,3,"['7044610871912', '7044610874173', '7044610875811']","['Kolonial', 'Meny', 'Spar']"
"Sparkling Water, Lavender Cucumber",Aura Bora,2,2,"['850026937022', '860002260921']","['Harris Teeter', 'Thrive Market']"
"Splash Refresher, Wild Berry Flavor Water Beverage, 8 Fl Oz Plastic Bottles (24 Count)",Splash,2,2,"['615888961277', '68274351396']","['Walmart', 'amazon']"
Sprecher Cherry Cola,Sprecher,2,2,"['45243001483', '45243019488']","['H-E-B', 'Hy-Vee']"
Sprecher Cream Soda,Sprecher,3,4,"['45243000424', '45243001421', '45243019426', '732623768981']","['H-E-B', 'Hy-Vee', 'Kroger']"
Sprecher Orange Dream Soda,Sprecher,2,2,"['45243001452', '45243019457']","['H-E-B', 'Kroger']"
"Starry Lemon Lime Soda, Caffeine Free",Starry,4,2,"['12000221477', '12000221514']","['Giant Eagle', 'Hy-Vee', 'Wegmans', 'publix']"
"Starry Lemon Lime Soda, Caffeine Free, Mini Cans",Starry,3,2,"['12000221446', '12000221460']","['Giant Eagle', 'Wegmans', 'publix']"
"Tahitian Treat Fruit Punch Soda 12oz Cans, 24 Units",Tahitian Treat,2,2,"['697937379080', '763351603541']","['Walmart', 'amazon']"
Tampico Citrus Punch,Tampico,3,2,"['95188000966', '95188011283']","['Fred Meyer Stores', 'H-E-B', 'Publix']"
Tampico Tropical Punch,Tampico,4,3,"['95188006203', '95188031281', '95188031298']","['H-E-B', 'Hy-Vee', 'meijer', 'publix']"
Tang Orange Drink Mix,Tang,4,3,"['43000032275', '66188055300', '66188057502']","['H-E-B', 'Hy-Vee', 'Publix', 'Walmart']"
"Thai Iced Tea Mix, Traditional Restaurant Style, 16 oz. ( Pack of 4)",Pantai,2,2,"['370621283206', '653078348415']","['Walmart', 'amazon']"
Thick- It Clear Advantage Thickened Beverage Apple 64 oz. Bottle,Thick- It,3,2,"['892125002409', '892125002416']","['Kroger', 'Target', 'Walmart']"
Thick- It Clear Advantage Thickened Water Unflavored 8 oz Bottle 24 Ct,Thick- It,2,2,"['892125002508', '892125002515']","['Kroger', 'Target']"
Tonic Water drinkmix Pet,Premier,2,2,"['7611612513364', '7611612515269']","['Hemköp', 'Willys']"
Turkey Hill Lemonade,Turkey Hill,4,3,"['20735092767', '20735092866', '20735096437']","['Fred Meyer Stores', 'Kroger', 'Walgreens', 'Wegmans']"
Turkey Hill Peach Tea,Turkey Hill,2,2,"['20735092903', '20735096338']","['Fred Meyer Stores', 'Kroger']"
Turkey Hill Sweet Tea,Turkey Hill,2,4,"['20735093290', '20735093863', '20735096390', '20735097182']","['Kroger', 'Walgreens']"
Urge u / sugar,Urge,2,3,"['5000112605907', '5000112651201', '5000112651386']","['Meny', 'Spar']"
"Vintage Seltzer Water, 33.8 Ounce (12 Bottles)",Vintage,2,2,"['651281131718', '72521050208']","['Walmart', 'amazon']"
Vitamin Smoothie,Brämhults,5,2,"['7313619000587', '7313619001454']","['Coop', 'Hemköp', 'MatHem', 'Osuma', 'Willys']"
"Vivaloe Peach Aloe Drink (16.9 fl. oz., 12 pk.)",Vivaloe,2,2,"['732976288792', '845163008476']","[""Sam's Club"", 'amazon']"
"Vivaloe Watermelon Aloe Drink (16.9 fl. oz., 12 pk.)",Vivaloe,2,2,"['732976288778', '845163008889']","[""Sam's Club"", 'amazon']"
Zephyrhills 100% Natural Spring Water,Zephyrhills,2,4,"['73430000018', '73430005037', '73430334144', '73430562226']","['Publix', 'Walgreens']"
Zing Zang Bloody Mary Mix,Zing Zang,7,4,"['616003708777', '616003741361', '616003790116', '616003814225']","['Fred Meyer Stores', 'H-E-B', 'Hy-Vee', 'Kroger', 'Total Wine', 'Walmart', 'publix']"
almdudler sugar free,Almdudler,3,2,"['2806204', '9015160100300']","['Billa', 'Bringmeister', 'Spar']"
apotekarnes julmust,Apotekarnes,2,3,"['7310070002488', '7310070059208', '7310070765802']","['Coop', 'MatHem']"
apple Juice,God Morgon,2,2,"['7310865074225', '7310865081650']","['Hemköp', 'Willys']"
apple juice,Bravo,4,4,"['7310867561013', '7310867561419', '7310867561716', '7310867564717']","['Coop', 'Hemköp', 'Willys', 'mat.se']"
apple juice,Garant,3,3,"['7311041050514', '7311043006397', '7340083456701']","['Hemköp', 'Willys', 'mat.se']"
apple juice,God Morgon,2,2,"['7310865074225', '7310865081650']","['Coop', 'mat.se']"
apple juice sparkling champomy,Champomy,3,2,"['3124480188564', '3192200002117']","['Carrefour', 'Leclerc Drive', 'OOShop']"
apple juice with pulp,Kiviks Musteri,3,2,"['7314720719597', '7314720719856']","['Coop', 'Hemköp', 'mat.se']"
banana Mango passion fruit Smoothie,Garant,2,3,"['7340083463242', '7340083480157', '7340083489907']","['Hemköp', 'Willys']"
bar le duc mineral water carbonated,Bar-le-Duc,2,8,"['8722200950283', '8722200954212', '8722200961982', '8722200963023', '8722200963030', '8722200964518', '8722200964969', '8722200964983']","['Dirk', 'Jan Linders']"
bar le duc mineral water lemon,Bar-le-Duc,3,2,"['8722200963047', '87222937']","['Albert Heijn', 'Coop', 'Dirk']"
bar le duc mineral water raspberry,Bar-le-Duc,2,2,"['8722200954274', '8722200963078']","['Dirk', 'Jan Linders']"
bar-le- Duc mineral water carbonated,Bar-le-Duc,2,2,"['8722200954236', '8722200954373']","['Albert Heijn', 'Coop']"
black tea infused perfume white peach,May Tea,2,2,"['3124480185112', '3124480191052']","['Auchan', 'Intermarche']"
blackcurrant drink,Änglamark,2,2,"['7340011316657', '7340191100411']","['Coop.dk MAD', 'Osuma']"
blueberry soup,Proviva,2,2,"['7340073300168', '7350000550573']","['Coop', 'mat.se']"
body attack Low Carb Sports Drink Raspberry,Body Attack,2,2,"['4250350519196', '4250350528433']","['Shop Apotheke', 'shop-apotheke']"
breakfast little buddha blueberry magical iswari 300g,Iswari,3,2,"['5600317477264', '5600317479268']","['Greenweez', 'Planeta Huerto', 'amazon']"
carrot freshly pressed,Brämhults,3,2,"['7313619000419', '7313619000433']","['Hemköp', 'Willys', 'mat.se']"
champion orchard orange juice 1 l fruit flesh,Valio,3,2,"['6408430061570', '6408430671120']","['Food Market Herkku', 'K Ruoka', 'S-kaupat']"
cool best Fruit breakfast forest fruits,Cool Best,2,2,"['8720157402107', '8720157468356']","['Albert Heijn', 'Coop']"
cool best Mango dream,Cool Best,3,3,"['8713300048666', '8720157463436', '8720157463887']","['Albert Heijn', 'Coop', 'Dirk']"
cool best Passionfruit heaven,Cool Best,2,2,"['8713300449227', '8720157463900']","['Coop', 'Dirk']"
cool best Premium orange,Cool Best,3,3,"['8713300048659', '8713300079653', '8720157463863']","['Albert Heijn', 'Coop', 'Dirk']"
coolbest Strawberry hill,Cool Best,2,2,"['8713300049694', '8713300049779']","['Coop', 'Jan Linders']"
coop orange juice 1l,Coop,2,2,"['7340191151079', '7340191151116']","['Food Market Herkku', 'S-kaupat']"
cranberry drink,Jokk,5,3,"['7310861008286', '7310861008699', '7350126085416']","['Coop', 'Hemköp', 'Mat Smart', 'Willys', 'mat.se']"
cranberry juice pure organic vital house,Vitalhaus,5,2,"['4041685002893', '4041685002909']","['DocMorris', 'Douglas', 'Eurapon', 'Medpex', 'Versandapotheke']"
darbo flower syrup elderflower,D'Arbo,2,2,"['7092916', '9001432018138']","['Mytime.de', 'Spar']"
double frisss Boost apple & peach,DubbelFrisss,3,2,"['8720157401926', '8720157402282']","['Albert Heijn', 'Coop', 'Plus']"
double frisss Boost forest fruits & apple,DubbelFrisss,3,2,"['8720157401964', '8720157402305']","['Albert Heijn', 'Coop', 'Plus']"
double frisss apple & peach,DubbelFrisss,2,3,"['8713300051635', '87184136', '8720157467472']","['Coop', 'Jan Linders']"
double frisss orange & tangerine,DubbelFrisss,3,3,"['8713300042558', '8713300051567', '8720157467533']","['Albert Heijn', 'Coop', 'Jan Linders']"
double frisss pineapple & mango,DubbelFrisss,3,2,"['8713300040448', '8720157467571']","['Albert Heijn', 'Coop', 'Jan Linders']"
douwe egberts Ice Cappuccino ice coffee 230 ml,Douwe Egberts,2,2,"['8711000258477', '8711000870198']","['Jumbo Supermarkten', 'Vomar']"
douwe egberts Ice cappuccino,Douwe Egberts,2,2,"['8711000258477', '8711000870198']","['Dirk', 'Jan Linders']"
douwe egberts Ice cappuccino ice coffee,Douwe Egberts,3,2,"['8711000258477', '8711000261514']","['Albert Heijn', 'Coop', 'Dirk']"
douwe egberts Ice caramel latte,Douwe Egberts,2,2,"['5410138037864', '8000070035980']","['Dirk', 'Jan Linders']"
douwe egberts Ice macchiato,Douwe Egberts,2,2,"['8711000258453', '8711000870228']","['Dirk', 'Jan Linders']"
douwe egberts Ice macchiato ice coffee,Douwe Egberts,2,2,"['8711000258453', '8711000870228']","['Albert Heijn', 'Coop']"
drink at iced tea black white peach may tea,May Tea,2,2,"['3124480185112', '3124480185174']","['Carrefour', 'OOShop']"
easter must,Nygårda,2,2,"['7310401000336', '7310401007939']","['Coop', 'MatHem']"
easter must soda Pet,Apotekarnes,2,4,"['7310070000149', '7310070001146', '7310070154101', '7310072725804']","['Hemköp', 'Willys']"
easter must soda Pet,Nygårda,2,2,"['7310401007939', '7310403007937']","['Hemköp', 'Willys']"
easter must sugar free soda Pet,Apotekarnes,2,3,"['7310070003966', '7310070154705', '7310072000536']","['Hemköp', 'Willys']"
elder Lime carbonated water Pet,Ramlösa,2,2,"['7310070001818', '7310070001962']","['Hemköp', 'Willys']"
energy Smoothie,Brämhults,3,3,"['7313619000235', '7313619001416', '7313619001461']","['Coop', 'Hemköp', 'Willys']"
energy drink Wolverine 24-pack,Wolverine,2,2,"['47350021421935', '7350021424273']","['Coop', 'Mat Smart']"
extreme raspberry mixed juice concentrates 0.95l,Ekström/Önos,3,2,"['6417802345262', '7310470345253']","['Food Market Herkku', 'K Ruoka', 'S-kaupat']"
extreme wild berry mixed juice concentrates 0.5l,Ekström/Önos,4,2,"['6417802586245', '7310470586236']","['Fiksu Ruoka', 'Food Market Herkku', 'K Ruoka', 'S-kaupat']"
fax condi,Faxe,4,4,"['5741000109151', '5741000113325', '5741000123591', '5741000124024']","['Coop.dk MAD', 'Fotex', 'Nemlig', 'Osuma']"
fax condi 0 calories,Faxe,4,3,"['5741000129395', '5741000129401', '5741000139752']","['Coop.dk MAD', 'Fotex', 'Nemlig', 'Osuma']"
fernandes Cherry bouquet,Fernandes,3,5,"['8710642007139', '8710642035811', '8710642035828', '8710642035989', '8710642037198']","['Albert Heijn', 'Coop', 'Dirk']"
fernandes Cream ginger,Fernandes,3,2,"['8710642035743', '8710642037167']","['Coop', 'Dirk', 'Plus']"
fernandes Green punch,Fernandes,2,4,"['8710642035774', '8710642036016', '8710642036085', '8710642037235']","['Coop', 'Dirk']"
fernandes Super pineapple,Fernandes,3,2,"['8710642007146', '8710642036047']","['Albert Heijn', 'Coop', 'Dirk']"
forest spring mineral water sparkling,Waldquelle,2,2,"['2020000589006', '9001521000228']","['Billa', 'Spar']"
frameless Citrus,Ramlösa,6,4,"['7310070001665', '7310070001726', '7310070001832', '73145721']","['Coop', 'Coop.dk MAD', 'Kronans Apotek', 'Mat Smart', 'MatHem', 'Osuma']"
frameless Original,Ramlösa,4,5,"['7310070001672', '7310070001696', '7310070001719', '7310070001849', '7310070766144']","['Coop', 'Coop.dk MAD', 'Mat Smart', 'MatHem']"
frameless Passion,Ramlösa,2,2,"['7310070003911', '7310070003928']","['Coop', 'MatHem']"
frameless Passion carbonated water Pet,Ramlösa,2,2,"['7310070003911', '7310070003928']","['Hemköp', 'Willys']"
frameless pomegranate,Ramlösa,3,3,"['7310070001900', '7310070003249', '7310070766120']","['Coop', 'Mat Smart', 'MatHem']"
frameless watermelon,Ramlösa,3,2,"['7310070003027', '7310070003034']","['Coop', 'Mat Smart', 'MatHem']"
freshly pressed orange,Brämhults,2,3,"['7313619000020', '7313619001324', '7313619001539']","['Coop', 'mat.se']"
frisian flag latte,Friesche,2,2,"['8712800102366', '8712800111238']","['Dirk', 'Plus']"
frisian flag latte frothed milk,Friesche,5,3,"['8712800102366', '8712800111238', '8713300049366']","['Albert Heijn', 'Coop', 'Jan Linders', 'Kruidvat', 'Spar']"
from the tree green tea citrus syrup,Van de Boom,2,2,"['8720157402688', '8720157462880']","['Albert Heijn', 'Coop']"
